comunidad,sexo,año,total
andalucia,hombres,2017,4133835
melilla,hombres,2017,43629
galicia,mujeres,2017,1403947
castilla y leon,mujeres,2018,1222801
castilla la mancha,hombres,2018,1014199
aragon,mujeres,2018,663230
valencia,mujeres,2018,2517320
pais vasco,hombres,2018,1068750
andalucia,mujeres,2018,4250510
pais vasco,mujeres,2018,1130338
extremadura,hombres,2018,531255
cantabria,mujeres,2018,298665
aragon,hombres,2018,645498
cantabria,hombres,2018,281564
navarra,mujeres,2018,327085
melilla,hombres,2018,43765
canarias,mujeres,2018,1073653
baleares,mujeres,2018,567105
cataluña,mujeres,2018,3869739
ceuta,hombres,2018,43177
castilla y leon,hombres,2018,1186363
madrid,mujeres,2018,3430207
galicia,mujeres,2018,1401134
baleares,hombres,2018,561803
canarias,hombres,2018,1054032
region de murcia,hombres,2018,740143
andalucia,hombres,2018,4133898
castilla la mancha,mujeres,2018,1012608
asturias,mujeres,2018,537506
melilla,mujeres,2018,42619
galicia,hombres,2018,1300609
la rioja,mujeres,2018,159917
extremadura,mujeres,2018,541608
navarra,hombres,2018,320469
ceuta,mujeres,2018,41967
asturias,hombres,2018,490738
madrid,hombres,2018,3147872
la rioja,hombres,2018,155758
cataluña,hombres,2018,3730326
valencia,hombres,2018,2446383
region de murcia,mujeres,2018,738366
melilla,mujeres,2019,42593
la rioja,mujeres,2019,160619
ceuta,hombres,2019,42912
andalucia,hombres,2019,4147167
la rioja,hombres,2019,156179
ceuta,mujeres,2019,41865
pais vasco,mujeres,2019,1134702
melilla,hombres,2019,43894
extremadura,hombres,2019,528500
andalucia,mujeres,2019,4267073
aragon,hombres,2019,650694
baleares,mujeres,2019,576703
galicia,mujeres,2019,1400535
castilla la mancha,hombres,2019,1016954
asturias,mujeres,2019,534663
galicia,hombres,2019,1298964
madrid,mujeres,2019,3476082
castilla la mancha,mujeres,2019,1015909
cataluña,hombres,2019,3770123
extremadura,mujeres,2019,539210
cataluña,mujeres,2019,3905094
baleares,hombres,2019,572757
canarias,mujeres,2019,1087418
valencia,mujeres,2019,2538427
pais vasco,hombres,2019,1073074
asturias,hombres,2019,488137
madrid,hombres,2019,3187312
canarias,hombres,2019,1065971
cantabria,hombres,2019,281801
navarra,mujeres,2019,330583
cantabria,mujeres,2019,299277
navarra,hombres,2019,323631
castilla y leon,mujeres,2019,1218147
aragon,mujeres,2019,668597
region de murcia,mujeres,2019,746283
valencia,hombres,2019,2465342
castilla y leon,hombres,2019,1181401
region de murcia,hombres,2019,747615
castilla y leon,hombres,2020,1178846
castilla la mancha,mujeres,2020,1021481
castilla la mancha,hombres,2020,1023740
valencia,hombres,2020,2492121
cataluña,mujeres,2020,3953515
cantabria,mujeres,2020,300346
canarias,hombres,2020,1076185
ceuta,mujeres,2020,41660
cantabria,hombres,2020,282559
ceuta,hombres,2020,42542
baleares,hombres,2020,584298
canarias,mujeres,2020,1099767
baleares,mujeres,2020,587245
castilla y leon,mujeres,2020,1216072
cataluña,hombres,2020,3826964
valencia,mujeres,2020,2565232
pais vasco,mujeres,2020,1141052
pais vasco,hombres,2020,1079452
navarra,mujeres,2020,333971
aragon,mujeres,2020,673335
navarra,hombres,2020,327226
region de murcia,mujeres,2020,754552
region de murcia,hombres,2020,756699
asturias,hombres,2020,486066
la rioja,hombres,2020,157835
madrid,mujeres,2020,3536095
galicia,mujeres,2020,1401666
madrid,hombres,2020,3243793
galicia,hombres,2020,1300153
andalucia,hombres,2020,4170605
extremadura,hombres,2020,526288
extremadura,mujeres,2020,537699
andalucia,mujeres,2020,4293806
asturias,mujeres,2020,532718
melilla,mujeres,2020,42914
melilla,hombres,2020,44162
aragon,hombres,2020,656056
la rioja,mujeres,2020,162079
asturias,hombres,2021,482665
baleares,mujeres,2021,588155
