provincia,sexo,año,total
cordoba,mujeres,2013,408233
islas baleares,mujeres,2013,557071
guipuzcoa,hombres,2013,349551
santa cruz de tenerife,mujeres,2013,512537
barcelona,hombres,2013,2711403
cadiz,mujeres,2013,625722
islas baleares,hombres,2013,554603
santa cruz de tenerife,hombres,2013,502292
coruña,mujeres,2013,591082
guipuzcoa,mujeres,2013,364267
cantabria,hombres,2013,288643
zamora,hombres,2013,93336
cuenca,hombres,2013,43060
rioja,hombres,2013,160159
cuenca,mujeres,2013,104788
barcelona,mujeres,2013,2829522
burgos,mujeres,2013,184610
caceres,mujeres,2013,206517
zaragoza,hombres,2013,482677
zamora,mujeres,2013,94934
burgos,hombres,2013,186638
almeria,mujeres,2013,343671
salamanca,hombres,2013,168950
vizcaya,mujeres,2013,596874
almeria,hombres,2013,355658
vizcaya,hombres,2013,559573
cuenca,hombres,2013,107111
coruña,hombres,2013,547079
cadiz,hombres,2013,612770
zaragoza,mujeres,2013,495961
valencia,mujeres,2013,1301854
badajoz,hombres,2013,344296
badajoz,mujeres,2013,349433
gerona,hombres,2013,382685
castellon,hombres,2013,300992
salamanca,mujeres,2013,176598
granada,hombres,2013,453670
valladolid,mujeres,2013,271665
melilla,hombres,2013,43017
asturias,mujeres,2013,556819
albacete,hombres,2013,200016
toledo,hombres,2013,357149
valladolid,hombres,2013,260619
ciudad real,mujeres,2013,264074
granada,mujeres,2013,465649
melilla,mujeres,2013,40662
castellon,mujeres,2013,300707
alava,mujeres,2013,161795
asturias,hombres,2013,511346
pontevedra,mujeres,2013,492445
caceres,hombres,2013,203758
gerona,mujeres,2013,378947
toledo,mujeres,2013,349258
avila,hombres,2013,85025
cuenca,mujeres,2013,41120
avila,mujeres,2013,83800
cordoba,hombres,2013,394189
cantabria,mujeres,2013,303245
leon,mujeres,2014,248157
caceres,mujeres,2014,205741
cantabria,mujeres,2014,301874
madrid,hombres,2014,3099641
las palmas,mujeres,2014,549861
castellon,mujeres,2014,294704
zamora,mujeres,2014,93561
valladolid,mujeres,2014,270292
lugo,hombres,2014,166325
lerida,hombres,2014,221891
cantabria,hombres,2014,286782
cadiz,hombres,2014,613340
lerida,mujeres,2014,216110
segovia,hombres,2014,80316
rioja,mujeres,2014,160912
lugo,mujeres,2014,176423
zamora,hombres,2014,91871
alava,hombres,2014,159583
tarragona,hombres,2014,401634
castellon,hombres,2014,292804
cadiz,mujeres,2014,626835
albacete,hombres,2014,198230
guadalajara,hombres,2014,130197
madrid,mujeres,2014,3354799
navarra,mujeres,2014,322304
badajoz,hombres,2014,342654
avila,mujeres,2014,83017
sevilla,hombres,2014,950883
orense,hombres,2014,155090
salamanca,mujeres,2014,175398
alicante,hombres,2014,928519
las palmas,hombres,2014,550166
albacete,mujeres,2014,198757
avila,hombres,2014,83998
orense,mujeres,2014,167203
melilla,hombres,2014,43075
asturias,mujeres,2014,553829
palencia,hombres,2014,82997
asturias,hombres,2014,507927
melilla,mujeres,2014,41434
segovia,mujeres,2014,78987
palencia,mujeres,2014,84612
alava,mujeres,2014,162349
cuenca,mujeres,2014,41609
caceres,hombres,2014,202962
santa cruz de tenerife,hombres,2014,496207
navarra,hombres,2014,318486
burgos,mujeres,2014,183018
zaragoza,hombres,2014,471675
soria,hombres,2014,46723
almeria,mujeres,2014,345025
malaga,hombres,2014,797639
burgos,hombres,2014,183882
vizcaya,mujeres,2014,595133
malaga,mujeres,2014,824329
vizcaya,hombres,2014,556772
ciudad real,hombres,2014,257918
zaragoza,mujeres,2014,488436
murcia,hombres,2014,735889
barcelona,mujeres,2014,2824744
barcelona,hombres,2014,2699040
sevilla,mujeres,2014,990472
murcia,mujeres,2014,730929
islas baleares,mujeres,2014,553641
cuenca,hombres,2014,43354
islas baleares,hombres,2014,549801
badajoz,mujeres,2014,348275
salamanca,hombres,2014,167061
soria,mujeres,2014,45498
valencia,hombres,2014,1253758
granada,mujeres,2014,466048
tarragona,mujeres,2014,399328
cuenca,mujeres,2014,102863
cordoba,hombres,2014,392644
cuenca,hombres,2014,104586
huelva,hombres,2014,257542
jaen,mujeres,2014,332450
teruel,hombres,2014,71449
pontevedra,hombres,2014,460167
cordoba,mujeres,2014,406758
toledo,hombres,2014,352949
toledo,mujeres,2014,346187
rioja,hombres,2014,158090
huesca,mujeres,2014,111069
teruel,mujeres,2014,68916
coruña,hombres,2014,544075
guadalajara,mujeres,2014,125229
jaen,hombres,2014,326583
almeria,hombres,2014,356663
granada,hombres,2014,453407
coruña,mujeres,2014,588660
gerona,mujeres,2014,376981
valencia,mujeres,2014,1295140
pontevedra,mujeres,2014,490752
alicante,mujeres,2014,939919
huesca,hombres,2014,113840
guipuzcoa,mujeres,2014,365134
ciudad real,mujeres,2014,261695
gerona,hombres,2014,379175
valladolid,hombres,2014,258865
santa cruz de tenerife,mujeres,2014,508581
guipuzcoa,hombres,2014,350014
leon,hombres,2014,236537
huelva,mujeres,2014,261687
malaga,hombres,2015,800767
salamanca,mujeres,2015,174016
soria,hombres,2015,46077
valencia,hombres,2015,1250165
melilla,hombres,2015,43593
burgos,mujeres,2015,181860
islas baleares,mujeres,2015,554801
valencia,mujeres,2015,1293150
santa cruz de tenerife,hombres,2015,494354
murcia,hombres,2015,735434
cuenca,hombres,2015,42757
almeria,mujeres,2015,345153
zaragoza,hombres,2015,469456
albacete,mujeres,2015,197566
madrid,mujeres,2015,3349974
gerona,mujeres,2015,376118
islas baleares,hombres,2015,549678
badajoz,mujeres,2015,346354
las palmas,hombres,2015,548849
navarra,hombres,2015,317885
caceres,hombres,2015,201702
teruel,mujeres,2015,68327
huelva,mujeres,2015,262318
murcia,mujeres,2015,731854
huesca,mujeres,2015,110283
barcelona,mujeres,2015,2827562
navarra,mujeres,2015,322591
cuenca,mujeres,2015,101258
badajoz,hombres,2015,340376
santa cruz de tenerife,mujeres,2015,507546
vizcaya,hombres,2015,554832
barcelona,hombres,2015,2696360
almeria,hombres,2015,356058
zaragoza,mujeres,2015,486550
toledo,mujeres,2015,343818
coruña,mujeres,2015,585904
guipuzcoa,hombres,2015,350799
gerona,hombres,2015,376936
malaga,mujeres,2015,828206
huelva,hombres,2015,257699
sevilla,mujeres,2015,990893
avila,mujeres,2015,82045
sevilla,hombres,2015,950587
vizcaya,mujeres,2015,593943
cuenca,mujeres,2015,41506
teruel,hombres,2015,70605
burgos,hombres,2015,182142
orense,hombres,2015,153043
huesca,hombres,2015,112626
cuenca,hombres,2015,102583
salamanca,hombres,2015,165379
albacete,hombres,2015,197014
asturias,hombres,2015,502175
pontevedra,mujeres,2015,489260
palencia,hombres,2015,82232
zamora,hombres,2015,90888
rioja,mujeres,2015,160320
granada,mujeres,2015,465390
cantabria,mujeres,2015,300391
valladolid,hombres,2015,256999
cordoba,hombres,2015,390559
lerida,mujeres,2015,215310
melilla,mujeres,2015,41991
tarragona,hombres,2015,397730
tarragona,mujeres,2015,397371
segovia,hombres,2015,79355
lugo,hombres,2015,164605
toledo,hombres,2015,349553
pontevedra,hombres,2015,458114
leon,hombres,2015,233664
lerida,hombres,2015,220719
segovia,mujeres,2015,78215
castellon,mujeres,2015,292607
ciudad real,mujeres,2015,259142
valladolid,mujeres,2015,269289
palencia,mujeres,2015,83803
ciudad real,hombres,2015,254571
alava,mujeres,2015,163354
leon,mujeres,2015,245731
alava,hombres,2015,160294
alicante,mujeres,2015,934127
castellon,hombres,2015,289720
jaen,mujeres,2015,330309
guipuzcoa,mujeres,2015,366035
jaen,hombres,2015,323861
guadalajara,mujeres,2015,124734
lugo,mujeres,2015,174781
avila,hombres,2015,82880
granada,hombres,2015,451907
alicante,hombres,2015,920920
