año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2010,cuarto,orense,galicia,50
2010,cuarto,pontevedra,galicia,143
2010,cuarto,madrid,madrid,1374
2010,cuarto,murcia,murcia,392
2010,cuarto,navarra,navarra,69
2010,cuarto,alava,pais vasco,56
2010,cuarto,guipuzcoa,pais vasco,77
2010,cuarto,vizcaya,pais vasco,151
2010,cuarto,rioja,la rioja,68
2010,cuarto,cuenca,castilla la mancha,24
2010,cuarto,melilla,melilla,0
2011,primero,almeria,andalucia,74
2011,primero,cadiz,andalucia,224
2011,primero,cordoba,andalucia,101
2011,primero,granada,andalucia,107
2011,primero,huelva,andalucia,110
2011,primero,jaen,andalucia,86
2011,primero,malaga,andalucia,313
2011,primero,sevilla,andalucia,450
2011,primero,huesca,aragon,25
2011,primero,teruel,aragon,13
2011,primero,zaragoza,aragon,127
2011,primero,asturias,asturias,169
2011,primero,islas baleares,islas baleares,213
2011,primero,las palmas,canarias,269
2011,primero,santa cruz de tenerife,canarias,293
2011,primero,cantabria,cantabria,82
2011,primero,avila,castilla y leon,28
2011,primero,burgos,castilla y leon,60
2011,primero,leon,castilla y leon,105
2011,primero,palencia,castilla y leon,24
2011,primero,salamanca,castilla y leon,27
2011,primero,segovia,castilla y leon,18
2011,primero,soria,castilla y leon,26
2011,primero,valladolid,castilla y leon,96
2011,primero,zamora,castilla y leon,17
2011,primero,albacete,castilla la mancha,74
2011,primero,ciudad real,castilla la mancha,87
2011,primero,cuenca,castilla la mancha,33
2011,primero,guadalajara,castilla la mancha,93
2011,primero,toledo,castilla la mancha,166
2011,primero,barcelona,cataluña,878
2011,primero,gerona,cataluña,176
2011,primero,lerida,cataluña,65
2011,primero,tarragona,cataluña,216
2011,primero,alicante,comunidad valenciana,580
2011,primero,castellon,comunidad valenciana,128
2011,primero,valencia,comunidad valenciana,414
2011,primero,badajoz,extremadura,162
2011,primero,caceres,extremadura,50
2011,primero,coruña,galicia,84
2011,primero,lugo,galicia,49
2011,primero,orense,galicia,30
2011,primero,pontevedra,galicia,123
2011,primero,madrid,madrid,1445
2011,primero,murcia,murcia,493
2011,primero,navarra,navarra,66
2011,primero,alava,pais vasco,36
2011,primero,guipuzcoa,pais vasco,89
2011,primero,vizcaya,pais vasco,94
2011,primero,rioja,la rioja,71
2011,primero,cuenca,castilla la mancha,38
2011,primero,melilla,melilla,0
2011,segundo,almeria,andalucia,63
2011,segundo,cadiz,andalucia,203
2011,segundo,cordoba,andalucia,114
2011,segundo,granada,andalucia,91
2011,segundo,huelva,andalucia,147
2011,segundo,jaen,andalucia,85
2011,segundo,malaga,andalucia,246
2011,segundo,sevilla,andalucia,507
2011,segundo,huesca,aragon,18
2011,segundo,teruel,aragon,21
2011,segundo,zaragoza,aragon,137
2011,segundo,asturias,asturias,193
2011,segundo,islas baleares,islas baleares,206
2011,segundo,las palmas,canarias,359
2011,segundo,santa cruz de tenerife,canarias,299
2011,segundo,cantabria,cantabria,76
2011,segundo,avila,castilla y leon,40
2011,segundo,burgos,castilla y leon,75
2011,segundo,leon,castilla y leon,80
2011,segundo,palencia,castilla y leon,19
2011,segundo,salamanca,castilla y leon,20
2011,segundo,segovia,castilla y leon,20
2011,segundo,soria,castilla y leon,21
2011,segundo,valladolid,castilla y leon,79
2011,segundo,zamora,castilla y leon,11
2011,segundo,albacete,castilla la mancha,94
2011,segundo,ciudad real,castilla la mancha,107
2011,segundo,cuenca,castilla la mancha,48
2011,segundo,guadalajara,castilla la mancha,26
2011,segundo,toledo,castilla la mancha,186
2011,segundo,barcelona,cataluña,1000
2011,segundo,gerona,cataluña,194
2011,segundo,lerida,cataluña,65
2011,segundo,tarragona,cataluña,212
2011,segundo,alicante,comunidad valenciana,646
2011,segundo,castellon,comunidad valenciana,149
2011,segundo,valencia,comunidad valenciana,434
2011,segundo,badajoz,extremadura,93
2011,segundo,caceres,extremadura,34
2011,segundo,coruña,galicia,95
2011,segundo,lugo,galicia,49
2011,segundo,orense,galicia,37
2011,segundo,pontevedra,galicia,105
2011,segundo,madrid,madrid,1469
2011,segundo,murcia,murcia,363
2011,segundo,navarra,navarra,80
2011,segundo,alava,pais vasco,84
2011,segundo,guipuzcoa,pais vasco,79
2011,segundo,vizcaya,pais vasco,73
2011,segundo,rioja,la rioja,70
2011,segundo,cuenca,castilla la mancha,34
2011,segundo,melilla,melilla,2
2011,tercero,almeria,andalucia,83
2011,tercero,cadiz,andalucia,260
2011,tercero,cordoba,andalucia,119
2011,tercero,granada,andalucia,102
2011,tercero,huelva,andalucia,125
2011,tercero,jaen,andalucia,105
2011,tercero,malaga,andalucia,250
2011,tercero,sevilla,andalucia,448
2011,tercero,huesca,aragon,24
2011,tercero,teruel,aragon,20
2011,tercero,zaragoza,aragon,141
2011,tercero,asturias,asturias,190
2011,tercero,islas baleares,islas baleares,244
2011,tercero,las palmas,canarias,376
2011,tercero,santa cruz de tenerife,canarias,333
2011,tercero,cantabria,cantabria,74
2011,tercero,avila,castilla y leon,60
2011,tercero,burgos,castilla y leon,63
2011,tercero,leon,castilla y leon,78
2011,tercero,palencia,castilla y leon,38
2011,tercero,salamanca,castilla y leon,15
2011,tercero,segovia,castilla y leon,21
2011,tercero,soria,castilla y leon,22
2011,tercero,valladolid,castilla y leon,82
2011,tercero,zamora,castilla y leon,27
2011,tercero,albacete,castilla la mancha,98
2011,tercero,ciudad real,castilla la mancha,110
2011,tercero,cuenca,castilla la mancha,46
2011,tercero,guadalajara,castilla la mancha,58
2011,tercero,toledo,castilla la mancha,157
2011,tercero,barcelona,cataluña,1079
2011,tercero,gerona,cataluña,238
2011,tercero,lerida,cataluña,68
2011,tercero,tarragona,cataluña,247
2011,tercero,alicante,comunidad valenciana,671
2011,tercero,castellon,comunidad valenciana,112
2011,tercero,valencia,comunidad valenciana,438
2011,tercero,badajoz,extremadura,153
2011,tercero,caceres,extremadura,64
2011,tercero,coruña,galicia,105
2011,tercero,lugo,galicia,60
2011,tercero,orense,galicia,42
2011,tercero,pontevedra,galicia,113
2011,tercero,madrid,madrid,1487
2011,tercero,murcia,murcia,441
2011,tercero,navarra,navarra,68
2011,tercero,alava,pais vasco,61
2011,tercero,guipuzcoa,pais vasco,87
2011,tercero,vizcaya,pais vasco,103
2011,tercero,rioja,la rioja,65
2011,tercero,cuenca,castilla la mancha,10
2011,tercero,melilla,melilla,0
2011,cuarto,almeria,andalucia,49
2011,cuarto,cadiz,andalucia,288
2011,cuarto,cordoba,andalucia,113
2011,cuarto,granada,andalucia,89
2011,cuarto,huelva,andalucia,129
2011,cuarto,jaen,andalucia,83
2011,cuarto,malaga,andalucia,270
2011,cuarto,sevilla,andalucia,378
2011,cuarto,huesca,aragon,31
2011,cuarto,teruel,aragon,14
2011,cuarto,zaragoza,aragon,138
2011,cuarto,asturias,asturias,217
2011,cuarto,islas baleares,islas baleares,168
2011,cuarto,las palmas,canarias,309
2011,cuarto,santa cruz de tenerife,canarias,240
2011,cuarto,cantabria,cantabria,71
2011,cuarto,avila,castilla y leon,24
2011,cuarto,burgos,castilla y leon,70
2011,cuarto,leon,castilla y leon,125
