año,trimestre,llamante,almeria,cadiz,cordoba,granada,huelva,jaen,malaga,sevilla,huesca,teruel,zaragoza,asturias,illes balears,las palmas,santa cruz de tenerife,cantabria,avila,burgos,leon,palencia,salamanca,segovia,soria,valladolid,zamora,albacete,ciudad real,cuenca,guadalajara,toledo,barcelona,girona,lleida,tarragona,alicante/alacant,castellon/castello,valencia/valencia,badajoz,caceres,a coruna,lugo,ourense,pontevedra,madrid,murcia,navarra,araba/alava,bizkaia,gipuzkoa,la rioja,ceuta,melilla,no consta
2011,primero,usuaria,146.0,289.0,186.0,306.0,131.0,125.0,474.0,586.0,36.0,8.0,191.0,245.0,267.0,390.0,370.0,171.0,40.0,55.0,92.0,21.0,98.0,43.0,23.0,126.0,38.0,62.0,118.0,33.0,62.0,201.0,1247.0,99.0,48.0,153.0,462.0,128.0,660.0,168.0,119.0,258.0,64.0,45.0,216.0,2723.0,333.0,136.0,43.0,184.0,97.0,57.0,23.0,31.0,0.0
2011,primero,familiar,47.0,81.0,66.0,79.0,40.0,53.0,164.0,214.0,7.0,1.0,64.0,120.0,82.0,173.0,127.0,76.0,13.0,42.0,44.0,14.0,30.0,23.0,6.0,70.0,22.0,16.0,38.0,6.0,27.0,41.0,383.0,47.0,13.0,46.0,132.0,36.0,211.0,62.0,30.0,103.0,17.0,20.0,70.0,901.0,141.0,52.0,25.0,65.0,31.0,32.0,8.0,10.0,0.0
2011,primero,desconocido,4.0,12.0,4.0,13.0,0.0,4.0,19.0,29.0,1.0,5.0,11.0,15.0,12.0,10.0,10.0,4.0,0.0,2.0,4.0,0.0,7.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,8.0,37.0,5.0,4.0,6.0,22.0,8.0,27.0,6.0,4.0,12.0,4.0,1.0,7.0,142.0,15.0,8.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0
2011,segundo,usuaria,162.0,260.0,147.0,254.0,122.0,130.0,476.0,581.0,31.0,14.0,190.0,296.0,278.0,373.0,314.0,147.0,39.0,49.0,96.0,21.0,74.0,30.0,8.0,142.0,49.0,80.0,106.0,36.0,63.0,155.0,1244.0,108.0,44.0,138.0,470.0,119.0,695.0,166.0,96.0,233.0,54.0,61.0,181.0,2642.0,305.0,130.0,26.0,165.0,83.0,62.0,16.0,28.0,0.0
2011,segundo,familiar,58.0,92.0,67.0,86.0,51.0,51.0,140.0,212.0,13.0,5.0,62.0,100.0,111.0,151.0,100.0,59.0,16.0,24.0,29.0,9.0,26.0,13.0,3.0,59.0,10.0,18.0,39.0,17.0,15.0,50.0,324.0,21.0,15.0,34.0,128.0,25.0,188.0,59.0,47.0,87.0,20.0,23.0,73.0,830.0,118.0,59.0,14.0,75.0,39.0,41.0,5.0,4.0,0.0
2011,segundo,desconocido,4.0,18.0,6.0,5.0,6.0,2.0,22.0,24.0,0.0,0.0,9.0,9.0,15.0,12.0,10.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,0.0,6.0,1.0,1.0,2.0,6.0,2.0,10.0,37.0,1.0,0.0,2.0,18.0,3.0,35.0,6.0,9.0,13.0,1.0,2.0,4.0,158.0,17.0,4.0,2.0,9.0,3.0,0.0,0.0,1.0,0.0
2011,tercero,usuaria,180.0,308.0,189.0,290.0,125.0,132.0,483.0,703.0,22.0,26.0,197.0,267.0,275.0,464.0,335.0,198.0,28.0,82.0,100.0,32.0,92.0,29.0,14.0,178.0,26.0,81.0,115.0,51.0,72.0,226.0,1214.0,126.0,54.0,170.0,521.0,115.0,780.0,187.0,128.0,281.0,73.0,47.0,212.0,2871.0,363.0,176.0,54.0,210.0,101.0,74.0,20.0,30.0,0.0
2011,tercero,familiar,77.0,121.0,69.0,87.0,50.0,45.0,140.0,201.0,5.0,12.0,74.0,106.0,99.0,161.0,115.0,56.0,14.0,36.0,35.0,12.0,35.0,15.0,8.0,67.0,16.0,34.0,36.0,8.0,24.0,59.0,347.0,37.0,14.0,48.0,156.0,44.0,188.0,68.0,33.0,89.0,20.0,18.0,59.0,782.0,126.0,54.0,20.0,58.0,37.0,27.0,8.0,4.0,0.0
2011,tercero,desconocido,9.0,15.0,8.0,6.0,3.0,2.0,13.0,26.0,0.0,0.0,11.0,12.0,10.0,10.0,12.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,0.0,4.0,1.0,2.0,6.0,5.0,3.0,10.0,29.0,2.0,2.0,4.0,15.0,4.0,22.0,2.0,3.0,7.0,3.0,1.0,3.0,117.0,15.0,9.0,4.0,5.0,3.0,0.0,4.0,2.0,0.0
2011,cuarto,usuaria,173.0,345.0,196.0,310.0,136.0,173.0,589.0,721.0,39.0,16.0,248.0,367.0,301.0,457.0,383.0,160.0,36.0,102.0,137.0,30.0,90.0,38.0,18.0,152.0,46.0,91.0,125.0,41.0,62.0,226.0,1622.0,128.0,69.0,185.0,641.0,177.0,859.0,182.0,94.0,272.0,86.0,57.0,248.0,3265.0,410.0,140.0,54.0,269.0,130.0,84.0,23.0,20.0,0.0
2011,cuarto,familiar,48.0,96.0,55.0,95.0,45.0,62.0,190.0,250.0,11.0,4.0,78.0,112.0,98.0,153.0,134.0,71.0,19.0,30.0,43.0,20.0,23.0,12.0,6.0,53.0,11.0,17.0,28.0,21.0,23.0,60.0,486.0,30.0,31.0,59.0,133.0,46.0,226.0,70.0,38.0,117.0,31.0,18.0,95.0,983.0,137.0,53.0,24.0,92.0,47.0,30.0,9.0,3.0,0.0
2011,cuarto,desconocido,4.0,10.0,2.0,9.0,2.0,4.0,23.0,25.0,2.0,0.0,12.0,11.0,11.0,18.0,11.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,4.0,2.0,5.0,29.0,1.0,0.0,5.0,25.0,5.0,27.0,1.0,6.0,11.0,0.0,1.0,1.0,104.0,9.0,3.0,1.0,9.0,7.0,2.0,1.0,3.0,0.0
2012,primero,usuaria,132.0,229.0,150.0,257.0,105.0,114.0,361.0,540.0,20.0,11.0,156.0,238.0,230.0,336.0,278.0,141.0,50.0,74.0,117.0,31.0,89.0,32.0,13.0,115.0,33.0,49.0,108.0,40.0,55.0,176.0,1155.0,132.0,72.0,119.0,444.0,143.0,615.0,135.0,100.0,252.0,62.0,67.0,146.0,2455.0,280.0,134.0,57.0,166.0,70.0,44.0,24.0,28.0,0.0
2012,primero,familiar,51.0,58.0,57.0,81.0,31.0,52.0,139.0,150.0,8.0,6.0,53.0,95.0,78.0,120.0,91.0,35.0,24.0,26.0,45.0,5.0,27.0,13.0,6.0,40.0,16.0,19.0,36.0,10.0,10.0,47.0,325.0,31.0,19.0,32.0,123.0,35.0,140.0,55.0,30.0,83.0,19.0,25.0,69.0,711.0,84.0,58.0,22.0,57.0,33.0,28.0,3.0,6.0,0.0
